UserID,session_time_seconds,top_banner_image_click,last_minute_deals_click,best_sellers_click,christmas_menu_click,new_releases_click,product_image_click,frequently_bought _together_click,more_items_click,reviews_click,subscribe_save_click,one_time_checkout,add_to_basket,returning_user,purchased,repeat_purchaser
97c0-6b7645b3-97c0-4657-8ca8-978551,77,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0
1206-6b765626-1206-4b61-8817-807384,2,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0
7009-6b768104-7009-4526-9da6-129024,6,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
362d-6b7701e8-362d-4648-a171-128974,55,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
c763-6b7725a5-c763-411e-bcd3-58517,21,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0
547b-6b773565-547b-4a8a-a7b6-309182,3,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
90c9-6b776b37-90c9-b1c7-8856-995754,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
a7b9-6b77c764-a7b9-471d-b676-859413,43,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0
1e4c-6b77db27-1e4c-413d-ac47-771671,3,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0
av46-6b781434-av46-4167-9ab3-710695,43,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0
63da-6b78c96b-63da-b164-b7d9-705594,77,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0
aa54-6b78cb43-aa54-4850-9b17-857021,5,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
bda9-6b78d674-bda9-4507-ab97-943407,66,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0
c462-6b791251-c462-4602-8347-918228,77,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0
5339-6b791260-5339-4b78-8a9b-77952,2,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0
93d7-6b793287-93d7-4393-859b-932438,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
av4d-6b795c16-av4d-4963-a467-270785,6,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0
31b9-6b7a67d4-31b9-47a6-bab5-409936,33,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0
b95c-6b7a8023-b95c-4a34-a179-229546,7,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
61a6-6b7aa360-61a6-4360-8771-33350,77,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1
4261-6b7aa64d-4261-4a71-bd71-556005,5,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0
avb3-6b7ad55b-avb3-4ad3-b91e-697435,11,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
7618-6b7b26d3-7618-4779-b636-677335,34,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0
4117-6b7b2986-4117-4avc-a952-979760,88,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1
3d4d-6b7b21e9-3d4d-42a7-bd8c-313541,88,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1
2701-6b7b68dc-2701-b126-97ac-768128,3,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
5834-6b7b8407-5834-4750-a027-791418,3,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
3051-6b7b84c5-3051-4752-922d-432493,34,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0
6797-6b7bc767-6797-465a-b562-175804,23,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1
6d17-6b7bdb56-6d17-4692-b791-331650,88,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1
6dca-6b7b6295-6dca-42dc-a052-753340,99,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1
0030-6b7c320b-0030-46a1-b896-983723,2,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
67a5-6b7c48av-67a5-46a0-9687-237966,2,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0
c747-6b7d21dc-c747-4d5b-9c78-943725,65,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1
b577-6b7d5c77-b577-4812-a248-468414,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0
d6d0-6b7d6747-d6d0-404c-ba57-297333,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
407a-6b7da068-407a-4764-b579-944540,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
c773-6b7d6430-c773-4db1-90d0-503545,54,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1
61c3-6b774d17-61c3-47a5-a62b-224950,34,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0
6912-6b7767d6-6912-47b1-b050-875007,54,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
467a-6b778b45-467a-4642-8b55-839114,3,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0
aa07-6b77bc92-aa07-4875-9174-502728,3,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
3av4-6b777791-3av4-b1cd-8508-862135,3,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0
aa34-6b760410-aa34-4ba5-b260-433850,53,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1
da16-6b763002-da16-4d10-b4b5-374212,2,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0
1e1d-6b764cab-1e1d-453a-ab98-147949,43,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
7b9d-6b76562d-7b9d-4822-9942-9326,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47b6-6b76a765-47b6-4b64-8743-628618,88,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1
7d93-6b7av581-7d93-4289-9751-894428,54,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0
1e51-6b7av859-1e51-40d9-9535-371382,2,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
9846-6b606005-9846-4787-9745-799470,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
c77d-6b6077b1-c77d-b1d6-816d-764302,99,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1
85d7-6b60809c-85d7-49d7-a5b1-180523,76,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0
7965-6b609507-7965-41d9-adc5-6899,134,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1
2ab3-6b60a3c5-2ab3-b18a-ab79-737334,4,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0
2bcd-6b60b49c-2bcd-4396-a09b-276778,98,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1
d816-6b60d76b-d816-4dd3-aabb-315720,2,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
d365-6b607097-d365-46d8-ac50-467393,2,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0
c008-6b61226b-c008-b12b-8c65-111387,54,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0
481e-6b615c1e-481e-4849-a72a-647590,3,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
2026-6b61607a-2026-4cd3-9632-758790,5,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0
b65b-6b616b77-b65b-4212-8552-631435,52,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1
d2b3-6b617777-d2b3-41b2-9160-559537,99,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1
72c6-6b61a952-72c6-41c7-85b9-988154,99,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1
60bb-6b61b0bc-60bb-4773-a3a7-465756,3,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0
c61d-6b61c500-c61d-b186-929a-773187,9,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0
9873-6b61791e-9873-41c8-a064-5206,22,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
1dc6-6b6219d4-1dc6-432a-a5c7-267598,22,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
bad8-6b628390-bad8-40d6-856b-631130,65,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0
67bd-6b62ba6a-67bd-b196-a719-157172,66,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0
77b6-6b62d306-77b6-4av5-aadc-500352,2,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0
83bb-6b627d1a-83bb-4678-9069-629798,2,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0
a045-6b63011e-a045-4d24-a795-225930,2,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0
477c-6b631ad9-477c-406a-a768-955202,55,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0
c026-6b6336a9-c026-46d2-ad69-623232,2,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0
5414-6b63461a-5414-b161-bb67-287013,4,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
9867-6b638061-9867-4c13-87cc-177674,55,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0
bb0c-6b6385db-bb0c-4572-859a-91555,33,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0
4050-6b63921a-4050-4576-8av9-321457,2,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
0553-6b63c787-0553-4ab7-a771-104143,2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
741a-6b636722-741a-48bc-bdb6-472410,2,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
74b4-6b640c05-74b4-4cb4-8479-234683,2,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
3854-6b6460d8-3854-b1b7-8041-695041,2,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0
4524-6b64869d-4524-4620-a0c0-860559,2,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0
a1ad-6b649a91-a1ad-4b26-99cd-256402,66,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
c765-6b64c8d5-c765-4b84-a711-417515,2,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1
c740-6b6511eb-c740-471e-a976-565665,2,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0
8346-6b6539d4-8346-4b91-9085-172708,2,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0
11ea-6b654a84-11ea-46b2-b1e1-449897,55,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0
0d06-6b6587d3-0d06-403d-b05d-59821,2,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0
786a-6b65b717-786a-4b1e-a785-68967,4,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0
5797-6b65ba1a-5797-49av-8c7c-300055,55,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0
cav7-6b65ba51-cav7-4643-8180-941939,33,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0
4avd-6b1e029d-4avd-43a8-801a-368077,2,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0
dc69-6b1e02dc-dc69-4047-b322-484956,2,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0
738d-6b1e4738-738d-4c87-a70d-204344,2,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0
22d7-6b1e5152-22d7-46a0-9121-11549,2,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0
5991-6b1e99b0-5991-4bd1-998d-485886,2,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0
4b99-6b1ec962-4b99-45c3-a771-621952,2,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0
3635-6b1ecb8d-3635-47d6-9529-650825,2,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
57d3-6b1e753a-57d3-4d80-89a5-941697,2,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0
8349-6b1e7979-8349-4759-b8bb-782758,2,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1
62av-6b679347-62av-4a0a-9889-168102,2,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0
71d4-6b679daa-71d4-4633-8716-806975,2,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0
387b-6b67b796-387b-4d92-ac63-387798,66,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1
6a65-6b6816b7-6a65-4917-8221-546646,2,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0
db4c-6b684272-db4c-4b5d-915c-321228,2,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0
7dcd-6b688576-7dcd-46a5-87c7-412076,2,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1
c908-6b689373-c908-4659-8435-461323,55,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1
5b26-6b68b54a-5b26-4785-a347-387542,2,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0
av0a-6b68d504-av0a-b101-bd99-3821,4,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0
2b20-6b690676-2b20-48a7-8d1a-738130,55,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0
b047-6b692672-b047-4727-a767-187888,33,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0
791e-6b69b13a-791e-41e6-9a18-182308,2,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0
24c3-6b6957d6-24c3-4dd0-9776-863076,2,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0
1656-6b6957d6-1656-4d3c-a1ed-676561,2,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
8278-6b697601-8278-41e0-91ea-457083,2,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0
5683-6b697454-5683-4db4-8562-100822,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
7067-6b6a69c2-7067-4a76-96a4-758621,2,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1
dac7-6b6a6a9c-dac7-479d-b524-12287,2,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1
6273-6b6a1e77-6273-4986-b1ba-255033,2,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0
04b4-6b6a8d58-04b4-4060-9309-518858,2,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0
31c2-6b6aa506-31c2-489b-bd93-79331,2,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
9341-6b6aa943-9341-43b9-bd6b-812259,2,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0
a880-6b6a73c6-a880-4933-bd34-603336,66,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
7a86-6b6b0789-7a86-4216-aa67-294775,2,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0
a7ad-6b6b6177-a7ad-43a5-9d3c-666424,2,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0
cb50-6b6b6d37-cb50-4d86-b0b0-313797,2,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0
395b-6b6b1e18-395b-4d70-a97d-997483,55,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0
5471-6b6b7337-5471-414b-a674-437313,2,1,0,0,1,1,0,1,0,1,1,0,0,0,1,0
9cab-6b6b7469-9cab-4cca-b863-464377,4,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0
cd33-6b6b8876-cd33-4d4c-9577-932902,55,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0
706d-6b6b8b72-706d-4711-b072-194290,33,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0
8bb1-6b6b8c67-8bb1-4627-ac79-922412,2,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0
7c57-6b6ba250-7c57-46d0-bd38-168105,2,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
7c5b-6b6ba767-7c5b-45b8-8756-426579,2,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
8609-6b6bb54d-8609-455d-a7a9-913900,2,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0
51d0-6b6bb5a5-51d0-4164-b2b4-873557,2,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0
22b7-6b6bc979-22b7-4b7d-9001-361731,100,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1
7605-6bav0ac5-7605-4065-b05c-148371,5,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0
0148-6bav1558-0148-4887-bb05-403711,2,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0
72d4-6bav1bb6-72d4-4a89-a38c-211857,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1
486d-6bav831c-486d-497d-ad12-164574,34,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0
7859-6b6d0371-7859-4787-a605-552803,7,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
9709-6b6d04cc-9709-4dd6-ac1e-875809,43,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0
bav5-6b6d31c7-bav5-4171-b229-260156,22,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0
2092-6b6d3bdd-2092-4363-b6b0-753686,11,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1
4276-6b6d3db4-4276-4627-b650-205855,24,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0
a776-6b6dd919-a776-472c-a6d0-767344,32,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
2b67-6b670881-2b67-4d9d-9629-45771,44,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
9772-6b671537-9772-4912-b472-337682,11,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1
b1e6-6b6717cd-b1e6-4dc4-a49a-860131,88,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
601b-6b672213-601b-49av-9a70-770302,22,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0
c59d-6b676146-c59d-4726-ba84-846705,33,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
783a-6b67ab69-783a-4c3d-960d-523947,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
6961-6b67c761-6961-488a-b286-480723,299,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2612-6b67d688-2612-4010-bd05-647581,188,55,0,0,0,0,0,0,0,0,0,0,0,1,1,0
a6a5-6b677537-a6a5-4877-ab42-63237,77,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6bb4-6b6765b5-6bb4-4587-b096-444686,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
01b6-6b1e2247-01b6-4b61-9a32-938541,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5b18-6b1e2dd6-5b18-4a34-8647-108591,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6b48-6b1e5dc9-6b48-4001-87b0-482487,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ca47-6b1e1e18-ca47-4701-b91a-443225,3,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0
6767-6b1e7653-6767-4786-9968-259827,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
7c09-6b1e821e-7c09-43b2-8054-792396,43,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
abba-6b1eb714-abba-b167-9c05-474237,3,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1
2a87-6b1eb720-2a87-4dc6-a002-203115,43,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
2323-6b1eccc1-2323-4677-bd7d-828438,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
028d-av000d82-028d-4747-8c99-761985,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2635-av000d77-2635-481e-b767-499446,66,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7065-av00ac3d-7065-4dd6-9308-188566,77,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8627-av00ba69-8627-4712-a51e-629588,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
19cd-av00d880-19cd-4909-a253-553288,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1e79-av00677b-1e79-b188-ad02-247270,6,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1
001e-av0101e9-001e-4d28-94d7-761879,33,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1
408c-av015a45-408c-4a3d-8694-396492,7,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0
a199-av01d2a5-a199-4076-8676-448220,77,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
64d6-av017035-64d6-4b0d-9c00-922410,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
b942-av016483-b942-4930-87d6-176941,11,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0
a04a-av020527-a04a-43d3-bb51-143738,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8c15-av021237-8c15-48c4-b09c-951643,88,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
b5dd-av022336-b5dd-47a9-a989-856200,88,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
7500-av024d57-7500-4d31-a7b6-28793,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
6183-av026777-6183-b12d-a4d3-14305,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
4c76-av0267d3-4c76-4b1c-a653-790030,34,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
c70b-av027978-c70b-4865-9068-637409,23,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
161a-av028c8c-161a-4271-a030-522407,88,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
d786-av02a7d0-d786-4a17-8796-144267,99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7483-av02d1c8-7483-47a7-b53d-591589,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6712-av027d55-6712-b1a7-bbb7-336391,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9c64-av0320b6-9c64-460d-b8d0-464220,65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1c34-av039614-1c34-463a-845b-867189,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
b757-av03d627-b757-494d-b81a-974758,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75bd-av043399-75bd-436d-bc57-373310,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
c325-av0474bb-c325-453d-9av0-449708,54,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0
79c8-av048396-79c8-414d-baca-714049,34,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0
768c-av048367-768c-4657-9769-53195,54,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0
392d-av048av6-392d-4787-b284-490353,3,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0
7949-av04b8d9-7949-45d8-8137-943004,3,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0
4d99-av046bb8-4d99-4877-a516-616602,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
ac74-av046bdc-ac74-41e8-a870-165398,53,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
45a6-av05125d-45a6-4d21-b758-97134,2,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0
2c72-av05b397-2c72-4517-9777-462108,43,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0
6d67-av05c407-6d67-4a8c-a622-968132,2,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
6360-av05d114-6360-4061-a959-520867,88,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
517c-av0619bb-517c-b1a1-b4bc-452261,54,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0
2a27-av062736-2a27-484b-8268-628789,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
4b79-av064672-4b79-4cca-a112-287743,2,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0
7cc6-av069c35-7cc6-470b-9257-769677,99,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1d09-av06a08b-1d09-40a2-b2bd-64401,76,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0
5265-av06a646-5265-4d57-b113-114705,134,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0
d1e8-av06b9a4-d1e8-4608-9116-905965,4,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0
1137-av06d067-1137-4ava-a654-903470,98,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
8876-av0723d1-8876-468d-88d8-148788,2,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0
bc43-av074343-bc43-497c-b733-729578,2,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0
67bb-av074345-67bb-4169-add9-241558,54,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0
c984-av076497-c984-4bd2-b5a6-92313,3,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0
31e7-av079478-31e7-4346-8777-446909,5,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0
7c0a-av07b41a-7c0a-431c-97ad-295773,52,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1
7cc6-av076582-7cc6-b196-8av7-360568,99,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1
8dd7-av081677-8dd7-4101-a8c8-219846,99,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1
11e7-av084237-11e7-4295-8211-51166,3,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0
c018-av088b86-c018-4677-835b-543650,9,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0
b1ca-av091868-b1ca-4dc2-83b0-614408,22,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0
4cc8-av0943b2-4cc8-467d-8926-660206,22,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
4c8b-av09b2c7-4c8b-4067-8cdd-464589,65,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0
16d6-av09b367-16d6-4027-aba5-939012,66,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0
